Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	industry	Summary Quote
AGYS	Agilysys, Inc.	11.79	264569804.73	n/a	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/agys
AGIO	Agios Pharmaceuticals, Inc.	22	683631674	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/agio
AIRM	Air Methods Corporation	44.12	1715874714.32	n/a	n/a	Transportation	Transportation Services	http://www.nasdaq.com/symbol/airm
AIRT	Air T, Inc.	11.35	27765346.1	n/a	n/a	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/airt
ATSG	Air Transport Services Group, Inc	7.24	468229855.68	n/a	n/a	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/atsg
AMCN	AirMedia Group Inc	1.64	100132236.88	n/a	1995	Technology	Advertising	http://www.nasdaq.com/symbol/amcn
AIXG	Aixtron SE	14.14	1430057384	n/a	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aixg
AKAM	Akamai Technologies, Inc.	45.16	8045653575.68	n/a	1999	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/akam
AKRX	Akorn, Inc.	20.72	1993394743.2	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/akrx
ALSK	Alaska Communications Systems Group, Inc.	2.63	122699735.96	n/a	1999	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/alsk
AMRI	Albany Molecular Research, Inc.	13.44	424462308.48	n/a	1999	Health Care	Biotechnology: Commercial Physical & Biological Resarch	http://www.nasdaq.com/symbol/amri
ALCS	ALCO Stores, Inc.	10.8	35188160.4	n/a	n/a	Consumer Services	Department/Specialty Retail Stores	http://www.nasdaq.com/symbol/alcs
ADHD	Alcobra Ltd.	17.18	230693057.18	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/adhd
ALXN	Alexion Pharmaceuticals, Inc.	116.32	22807372695.84	n/a	1996	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/alxn
ALXA	Alexza Pharmaceuticals, Inc.	5	86175430	n/a	2006	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/alxa
ALCO	Alico, Inc.	38.57	281934049.04	n/a	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/alco
ALGN	Align Technology, Inc.	57.09	4585397037.87	n/a	2001	Health Care	Industrial Specialties	http://www.nasdaq.com/symbol/algn
ALIM	Alimera Sciences, Inc.	1.87	59075710.43	n/a	2010	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/alim
ALKS	Alkermes plc	35.15	4807197727.3	n/a	1991	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/alks
ALGT	Allegiant Travel Company	105.77	1996129517.2	n/a	2006	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/algt
ALLB	Alliance Bancorp, Inc. of Pennsylvania	14.95	73795950.8	n/a	n/a	Finance	Savings Institutions	http://www.nasdaq.com/symbol/allb
AFOP	Alliance Fiber Optic Products, Inc.	15.42	279458757.12	n/a	2000	Technology	Semiconductors	http://www.nasdaq.com/symbol/afop
AIQ	Alliance HealthCare Services, Inc.	24.06	255775580.34	n/a	2001	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/aiq
AHGP	Alliance Holdings GP, L.P.	59	3531917000	n/a	2006	Energy	Coal Mining	http://www.nasdaq.com/symbol/ahgp
ARLP	Alliance Resource Partners, L.P.	75.78	2801060232.12	n/a	1999	Energy	Coal Mining	http://www.nasdaq.com/symbol/arlp
AHPI	Allied Healthcare Products, Inc.	2.56	20549496.32	n/a	1992	Health Care	Industrial Specialties	http://www.nasdaq.com/symbol/ahpi
AMOT	Allied Motion Technologies, Inc.	9.22	81561908.68	n/a	n/a	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/amot
ALLT	Allot Communications Ltd.	12.93	421703636.01	n/a	2006	Technology	Computer Communications Equipment	http://www.nasdaq.com/symbol/allt
MDRX	Allscripts Healthcare Solutions, Inc.	14.44	2571232795.72	n/a	1999	Technology	EDP Services	http://www.nasdaq.com/symbol/mdrx
AFAM	Almost Family Inc	23.03	216658202.53	n/a	n/a	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/afam
ALNY	Alnylam Pharmaceuticals, Inc.	54.97	3460911529.82	n/a	2004	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/alny
AOSL	Alpha and Omega Semiconductor Limited	7.54	193762980.32	n/a	2010	Technology	Semiconductors	http://www.nasdaq.com/symbol/aosl
ATEC	Alphatec Holdings, Inc.	1.86	180602438.1	n/a	2006	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/atec
ALTI	Altair Nanotechnologies Inc.	4.345	50358841.115	n/a	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/alti
ALTR	Altera Corporation	33.11	10632566456.05	n/a	1988	Technology	Semiconductors	http://www.nasdaq.com/symbol/altr
ASPS	Altisource Portfolio Solutions S.A.	149.78	3423540931.4	n/a	n/a	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/asps
APSA	Alto Palermo S.A.	21.87	68898176.37	n/a	n/a	Consumer Services	Building operators	http://www.nasdaq.com/symbol/apsa
AIMC	Altra Holdings, Inc.	30.76	829535864.56	n/a	2006	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aimc
ALVR	Alvarion Ltd.	0.7101	6349796.5716	n/a	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/alvr
AMAG	AMAG Pharmaceuticals, Inc.	24.38	528739835.96	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/amag
AMRN	Amarin Corporation PLC	1.4	241659618.2	n/a	1995	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/amrn
AMZN	Amazon.com, Inc.	356.18	163035560771.6	n/a	1997	Consumer Services	Catalog/Specialty Distribution	http://www.nasdaq.com/symbol/amzn
AMBC	Ambac Financial Group, Inc.	20.45	920300225.2	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/ambc
AMBCW	Ambac Financial Group, Inc.	12.3	0	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/ambcw
AMBA	Ambarella, Inc.	20.61	567968215.95	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/amba
EPAX	Ambassadors Group, Inc.	4.05	68782490.55	n/a	n/a	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/epax
AMBT	Ambient Corporation	1.92	31995941.76	n/a	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/ambt
AMBI	Ambit Biosciences Corporation	14.53	259748509.12	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/ambi
AMCX	AMC Networks Inc.	72.35	5229093428.35	n/a	n/a	Consumer Services	Television Services	http://www.nasdaq.com/symbol/amcx
AMED	Amedisys Inc	16.83	541611279	n/a	1987	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/amed
UHAL	Amerco	206	4039204328	n/a	n/a	Consumer Services	Rental/Leasing Companies	http://www.nasdaq.com/symbol/uhal
ASBI	Ameriana Bancorp	13.5	40350852	n/a	n/a	Finance	Savings Institutions	http://www.nasdaq.com/symbol/asbi
ATAX	America First Tax Exempt Investors, L.P.	7	299410496	n/a	n/a	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/atax
AMOV	America Movil, S.A.B. de C.V.	21.29	76868604603.3	n/a	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/amov
AGNC	American Capital Agency Corp.	21.8	8636708129.6	n/a	1983	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/agnc
AGNCP	American Capital Agency Corp.	25.6	0	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/agncp
MTGE	American Capital Mortgage Investment Corp.	19.78	1109077615.24	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/mtge
ACAS	American Capital, Ltd.	13.94	4109856401.64	n/a	1997	n/a	n/a	http://www.nasdaq.com/symbol/acas
ANCI	American Caresource Holdings Inc	1.79	10224218.66	n/a	n/a	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/anci
AETI	American Electric Technologies, Inc.	8.33	66674761.09	n/a	n/a	Energy	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aeti
AMIC	American Independence Corp.	10.72	86537714.56	n/a	n/a	Finance	Accident &Health Insurance	http://www.nasdaq.com/symbol/amic
AMNB	American National Bankshares, Inc.	22.5	177193125	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/amnb
ANAT	American National Insurance Company	103.29	2777834159.76	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/anat
APFC	American Pacific Corporation	42.1	334161719.3	n/a	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/apfc
APEI	American Public Education, Inc.	42.43	749064014.59	n/a	2007	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/apei
ARII	American Railcar Industries, Inc.	43.85	936298223.45	n/a	2006	Capital Goods	Railroads	http://www.nasdaq.com/symbol/arii
ARCP	American Realty Capital Properties, Inc.	12.96	2403406365.12	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/arcp
AMRB	American River Bankshares	8.93	78883708.66	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/amrb
ASEI	American Science and Engineering, Inc.	66.5	519663585	n/a	n/a	Health Care	Medical Electronics	http://www.nasdaq.com/symbol/asei
AMSWA	American Software, Inc.	9.15	250876868.55	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/amswa
AMSC	American Superconductor Corporation	2.11	133193330.11	n/a	1991	Consumer Durables	Metal Fabrications	http://www.nasdaq.com/symbol/amsc
AMWD	American Woodmark Corporation	33.56	506451510.12	n/a	1986	Basic Industries	Forest Products	http://www.nasdaq.com/symbol/amwd
CRMT	America&#39;s Car-Mart, Inc.	46.02	414913052.58	n/a	n/a	Consumer Durables	Automotive Aftermarket	http://www.nasdaq.com/symbol/crmt
ABCB	Ameris Bancorp	18.78	448983019.02	n/a	1994	Finance	Major Banks	http://www.nasdaq.com/symbol/abcb
AMSF	AMERISAFE, Inc.	39.4	727004072	n/a	2005	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/amsf
ASRV	AmeriServ Financial Inc.	3.13	58794508.44	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/asrv
ASRVP	AmeriServ Financial Inc.	26.288	0	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/asrvp
ATLO	Ames National Corporation	21.77	202698576.01	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/atlo
AMGN	Amgen Inc.	113.325	85461351275.025	n/a	1983	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/amgn
FOLD	Amicus Therapeutics, Inc.	2.07	102737561.04	n/a	2007	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/fold
AMKR	Amkor Technology, Inc.	5.78	1259125528.86	n/a	1998	Technology	Semiconductors	http://www.nasdaq.com/symbol/amkr
AMSG	Amsurg Corp.	43.33	1396388587.23	n/a	n/a	Health Care	Medical/Nursing Services	http://www.nasdaq.com/symbol/amsg
ASYS	Amtech Systems, Inc.	8.39	80034173.26	n/a	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/asys
AFSI	AmTrust Financial Services, Inc.	40.41	3008172771.36	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afsi
AMRS	Amyris, Inc.	2.62	199676563.98	n/a	1992	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/amrs
ANAC	Anacor Pharmaceuticals, Inc.	12.74	517449356.06	n/a	2010	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/anac
ANAD	ANADIGICS, Inc.	1.88	156833809.32	n/a	1995	Technology	Semiconductors	http://www.nasdaq.com/symbol/anad
ADI	Analog Devices, Inc.	49.93	15512888208.62	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/adi
ALOG	Analogic Corporation	93.34	1159570193.86	n/a	1972	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/alog
ANEN	Anaren, Inc.	27.81	370780217.82	n/a	1972	Technology	Radio And Television Broadcasting And Communications Equipment	http://www.nasdaq.com/symbol/anen
ANCB	Anchor Bancorp	17	43350000	n/a	2011	Finance	Banks	http://www.nasdaq.com/symbol/ancb
AMCF	Andatee China Marine Fuel Services Corporation	1.18	11634987.62	n/a	2010	Energy	Oil Refining/Marketing	http://www.nasdaq.com/symbol/amcf
ANDA	Andina Acquisition Corporation	10.17	53392500	n/a	n/a	Consumer Durables	Electronic Components	http://www.nasdaq.com/symbol/anda
ANDAU	Andina Acquisition Corporation	10.95	18067510.95	n/a	n/a	Consumer Durables	Electronic Components	http://www.nasdaq.com/symbol/andau
ANDAW	Andina Acquisition Corporation	0.6	0	n/a	n/a	Consumer Durables	Electronic Components	http://www.nasdaq.com/symbol/andaw
ANGI	Angie&#39;s List, Inc.	14.54	849463760.68	n/a	n/a	Consumer Services	Advertising	http://www.nasdaq.com/symbol/angi
ANGO	AngioDynamics, Inc.	14.8	521747685.6	n/a	2004	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/ango
ANIP	ANI Pharmaceuticals, Inc.	11.2557	107457571.3479	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/anip
ANIK	Anika Therapeutics Inc.	30.44	415875419.84	n/a	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/anik
ANSS	ANSYS, Inc.	89.03	8229646968.55	n/a	1996	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/anss
ATRS	Antares Pharma, Inc.	3.72	473031201	n/a	2002	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/atrs
ANTH	Anthera Pharmaceuticals, Inc.	3.06	58492680.3	n/a	2010	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/anth
APAGF	Apco Oil and Gas International Inc.	14.8	435730352	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/apagf
ATNY	API Technologies Corp.	3.12	171119972.4	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/atny
APOG	Apogee Enterprises, Inc.	33.74	971306242.76	n/a	1971	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/apog
APOL	Apollo Group, Inc.	25.85	2932139650	n/a	1994	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/apol
AINV	Apollo Investment Corporation	8.59	1930528205.09	n/a	2004	n/a	n/a	http://www.nasdaq.com/symbol/ainv
AAPL	Apple Inc.	520.92	468691518960	n/a	1980	Technology	Computer Manufacturing	http://www.nasdaq.com/symbol/aapl
ARCI	Appliance Recycling Centers of America, Inc.	3.35	18629105.45	n/a	n/a	Consumer Services	Home Furnishings	http://www.nasdaq.com/symbol/arci
AMAT	Applied Materials, Inc.	17.92	21554650647.04	n/a	1972	Technology	Semiconductors	http://www.nasdaq.com/symbol/amat
AMCC	Applied Micro Circuits Corporation	11.03	806420484.74	n/a	1997	Technology	Semiconductors	http://www.nasdaq.com/symbol/amcc
AAOI	Applied Optoelectronics, Inc.	13.12	165368862.08	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/aaoi
AREX	Approach Resources Inc.	28.24	1101763464.88	n/a	2007	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/arex
APRI	Apricus Biosciences, Inc	1.79	67184836.12	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/apri
AQU	Aquasition Corp.	10.1	73785550	n/a	n/a	Finance	Business Services	http://www.nasdaq.com/symbol/aqu
AQUUU	Aquasition Corp.	10.27	67656192.5	n/a	n/a	Finance	Business Services	http://www.nasdaq.com/symbol/aquuu
AQUUW	Aquasition Corp.	0.28	0	n/a	n/a	Finance	Business Services	http://www.nasdaq.com/symbol/aquuw
PETX	Aratana Therapeutics, Inc.	18.97	415345247.59	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/petx
ARCW	ARC Group Worldwide, Inc.	18.21	107032607.43	n/a	n/a	Consumer Services	Telecommunications Equipment	http://www.nasdaq.com/symbol/arcw
ABIO	ARCA biopharma, Inc.	1.4	15331066.8	n/a	n/a	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	http://www.nasdaq.com/symbol/abio
ACGL	Arch Capital Group Ltd.	58.3	7778407571	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/acgl
ACAT	Arctic Cat Inc.	52.39	704881621.73	n/a	1990	Capital Goods	Industrial Specialties	http://www.nasdaq.com/symbol/acat
ARDNA	Arden Group, Inc.	129.85	398769350	n/a	n/a	Consumer Services	Food Chains	http://www.nasdaq.com/symbol/ardna
ARNA	Arena Pharmaceuticals, Inc.	4.145	904661524.325	n/a	2000	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/arna
ARCC	Ares Capital Corporation	17.675	4742423048.65	n/a	1999	n/a	n/a	http://www.nasdaq.com/symbol/arcc
AGII	Argo Group International Holdings, Ltd.	41.1	1095852012.6	n/a	n/a	Finance	Specialty Insurers	http://www.nasdaq.com/symbol/agii
AGIIL	Argo Group International Holdings, Ltd.	21.42	0	n/a	n/a	Finance	Specialty Insurers	http://www.nasdaq.com/symbol/agiil
ARIA	ARIAD Pharmaceuticals, Inc.	2.31	427596553.23	n/a	1994	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/aria
ARKR	Ark Restaurants Corp.	21.6	70125739.2	n/a	n/a	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/arkr
ABFS	Arkansas Best Corporation	26.53	682619924.42	n/a	1992	Transportation	Trucking Freight/Courier Services	http://www.nasdaq.com/symbol/abfs
ARMH	ARM Holdings plc	47.85	22317854202.6	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/armh
ARTX	Arotech Corporation	1.77	35457363.93	n/a	1994	Energy	Industrial Machinery/Components	http://www.nasdaq.com/symbol/artx
ARQL	ArQule, Inc.	2.21	138617936.08	n/a	1996	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/arql
ARRY	Array BioPharma Inc.	5.545	685847265.13	n/a	2000	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/arry
ARRS	ARRIS Group, Inc.	17.25	2383234073.25	n/a	1993	Technology	Radio And Television Broadcasting And Communications Equipment	http://www.nasdaq.com/symbol/arrs
AROW	Arrow Financial Corporation	25.95	319024058.1	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/arow
