Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	industry	Summary Quote
DDD	3D Systems Corporation	69.51	7144295701.83	n/a	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/ddd
MMM	3M Company	127.13	85592774291.27	n/a	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/mmm
WUBA	58.com Inc.	26.62	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/wuba
AHC	A.H. Belo Corporation	7.6	169579324.4	n/a	n/a	Consumer Services	Newspapers/Magazines	http://www.nasdaq.com/symbol/ahc
AIR	AAR Corp.	30.08	1190856792.32	n/a	n/a	Capital Goods	Aerospace	http://www.nasdaq.com/symbol/air
AAN	Aaron&#39;s,  Inc.	28.71	2189730304.08	n/a	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/aan
ABB	ABB Ltd	25.48	58512204630.88	n/a	n/a	Consumer Durables	Electrical Products	http://www.nasdaq.com/symbol/abb
ABT	Abbott Laboratories	37.56	58372948333.8	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/abt
ABBV	AbbVie Inc.	48.05	76179850188.2	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/abbv
ANF	Abercrombie & Fitch Company	33.13	2530893729.04	n/a	1996	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/anf
SGF	Aberdeen Singapore Fund, Inc.	13.27	100515127.78	n/a	1990	n/a	n/a	http://www.nasdaq.com/symbol/sgf
ABM	ABM Industries Incorporated	27.61	1522256255.96	n/a	n/a	Finance	Diversified Commercial Services	http://www.nasdaq.com/symbol/abm
AKR	Acadia Realty Trust	26.65	1477712012.4	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/akr
ACN	Accenture plc.	75.04	58036815318.72	n/a	1986	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/acn
ACMP	Access Midstream Partmers, L.P.	52.78	9334061138.22	n/a	n/a	Public Utilities	Natural Gas Distribution	http://www.nasdaq.com/symbol/acmp
ACCO	Acco Brands Corporation	5.69	646669546.96	n/a	n/a	Consumer Durables	Publishing	http://www.nasdaq.com/symbol/acco
AH	Accretive Health, Inc.	8.55	831631464.9	n/a	2010	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/ah
ACW	Accuride Corporation New	3.22	152998799.1	n/a	2005	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/acw
ACE	Ace Limited	97.78	33251562642.38	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/ace
ATV	Acorn International, Inc.	1.91	52493032.33	n/a	2007	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/atv
ACT	Actavis, Inc.	156.09	20785134829.8	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/act
ATU	Actuant Corporation	38.37	2802633166.11	n/a	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/atu
AYI	Acuity Brands Inc	100.42	4311238268.56	n/a	n/a	Consumer Durables	Building Products	http://www.nasdaq.com/symbol/ayi
ADX	Adams Express Company (The)	13.06	1214858726.52	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/adx
AGRO	Adecoagro S.A.	8	978992000	n/a	1994	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/agro
PVD	Administradora de Fondos de Pensiones-Provida, S.A.	86	1899548564	n/a	1994	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/pvd
ADT	ADT Corporation	43.26	9107078588.16	n/a	n/a	Consumer Services	Diversified Commercial Services	http://www.nasdaq.com/symbol/adt
AAP	Advance Auto Parts Inc	98.51	7175186759.91	n/a	1993	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/aap
AMD	Advanced Micro Devices, Inc.	3.32	2402640275.6	n/a	1972	Technology	Semiconductors	http://www.nasdaq.com/symbol/amd
ASX	Advanced Semiconductor Engineering, Inc.	4.9	7457920838.9	n/a	1996	Technology	Semiconductors	http://www.nasdaq.com/symbol/asx
AAV	Advantage Oil & Gas Ltd	3.8	639854784.4	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/aav
ATE	Advantest Corporation (Kabushiki Kaisha Advantest) ADS	11.43	1991049467.22	n/a	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/ate
AVK	Advent Claymore Convertible Securities and Income Fund	17.59	414787608.84	n/a	2003	n/a	n/a	http://www.nasdaq.com/symbol/avk
AGC	Advent Claymore Convertible Securities and Income Fund II	7.08	228264297.6	n/a	2007	n/a	n/a	http://www.nasdaq.com/symbol/agc
LCM	Advent/Claymore Enhanced Growth & Income Fund	10.02	136302310.5	n/a	2005	n/a	n/a	http://www.nasdaq.com/symbol/lcm
ACM	Aecom Technology Corporation	31.68	3193472494.08	n/a	2007	Consumer Services	Military/Government/Technical	http://www.nasdaq.com/symbol/acm
ANW	Aegean Marine Petroleum Network Inc.	9.96	470530519.2	n/a	2006	Energy	Oil Refining/Marketing	http://www.nasdaq.com/symbol/anw
AEB	Aegon NV	20.76	0	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeb
AED	Aegon NV	24.2	0	n/a	1995	Finance	Life Insurance	http://www.nasdaq.com/symbol/aed
AEF	Aegon NV	25.31	0	n/a	1990	Finance	Life Insurance	http://www.nasdaq.com/symbol/aef
AEG	Aegon NV	7.92	15124460083.92	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeg
AEH	Aegon NV	24.24	0	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aeh
AEK	Aegon NV	27.18	0	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aek
AEV	Aegon NV	24.82	0	n/a	n/a	Finance	Life Insurance	http://www.nasdaq.com/symbol/aev
AER	Aercap Holdings N.V.	21.53	2446094112.17	n/a	2006	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/aer
ARX	Aeroflex Holding Corp.	7.52	638769028.8	n/a	2010	Technology	Semiconductors	http://www.nasdaq.com/symbol/arx
ARO	Aeropostale Inc	8.4	659290069.2	n/a	2002	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/aro
AET	Aetna Inc.	63.24	23240700000	n/a	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/aet
AFM	Affiliated Managers Group, Inc.	25.16	0	n/a	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/afm
AMG	Affiliated Managers Group, Inc.	199.95	10567797589.95	n/a	1997	Finance	Investment Managers	http://www.nasdaq.com/symbol/amg
MGR	Affiliated Managers Group, Inc.	23.36	0	n/a	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/mgr
AFL	Aflac Incorporated	64.82	30147282821.18	n/a	n/a	Finance	Accident &Health Insurance	http://www.nasdaq.com/symbol/afl
AFSD	Aflac Incorporated	22.65	0	n/a	n/a	Finance	Accident &Health Insurance	http://www.nasdaq.com/symbol/afsd
MITT	AG Mortgage Investment Trust, Inc.	16.2	459690616.8	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mitt
MITT^A	AG Mortgage Investment Trust, Inc.	23.25	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mitt^a
MITT^B	AG Mortgage Investment Trust, Inc.	22.49	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mitt^b
AGCO	AGCO Corporation	57.62	5608978277.9	n/a	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/agco
A	Agilent Technologies, Inc.	51.04	16883622710.24	n/a	1999	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/a
GAS	AGL Resources, Inc.	48.07	5710167521.3	n/a	n/a	Public Utilities	Oil/Gas Transmission	http://www.nasdaq.com/symbol/gas
AEM	Agnico Eagle Mines Limited	29.06	5042195892.28	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/aem
ADC	Agree Realty Corporation	32.02	423997761.08	n/a	1994	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/adc
GRO	Agria Corporation	1.42	78644286	n/a	2007	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/gro
AGU	Agrium Inc.	87.23	12803468841.02	n/a	n/a	Basic Industries	Agricultural Chemicals	http://www.nasdaq.com/symbol/agu
AL	Air Lease Corporation	30.78	3131979717.06	n/a	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/al
APD	Air Products and Chemicals, Inc.	109.92	23044261279.68	n/a	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/apd
AYR	Aircastle Limited	18.97	1532339215.75	n/a	2006	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/ayr
ARG	Airgas, Inc.	108.56	7979534857.68	n/a	1971	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/arg
AKS	AK Steel Holding Corporation	5.22	711697122.9	n/a	n/a	Basic Industries	Steel/Iron Ore	http://www.nasdaq.com/symbol/aks
ALP^N	Alabama Power Company	24.9199	0	n/a	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/alp^n
ALP^O	Alabama Power Company	25.4909	0	n/a	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/alp^o
ALP^P	Alabama Power Company	24.8601	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/alp^p
ALG	Alamo Group, Inc.	47.76	578217568.08	n/a	1993	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/alg
AGI	Alamos Gold Inc	13.83	1766215276.38	n/a	n/a	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/agi
ALK	Alaska Air Group, Inc.	72.03	5032665870.75	n/a	n/a	Transportation	Air Freight/Delivery Services	http://www.nasdaq.com/symbol/alk
AIN	Albany International Corporation	35.03	1106948000	n/a	n/a	Basic Industries	Textiles	http://www.nasdaq.com/symbol/ain
ALB	Albemarle Corporation	67.08	5460264440.28	n/a	n/a	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/alb
ALU	Alcatel Lucent	4.2	9783611178.6	n/a	1989	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/alu
AA	Alcoa Inc.	9.66	10332356295.66	n/a	n/a	Capital Goods	Metal Fabrications	http://www.nasdaq.com/symbol/aa
ALR	Alere Inc.	33.61	2747751671.12	n/a	n/a	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	http://www.nasdaq.com/symbol/alr
ALR^B	Alere Inc.	282	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/alr^b
ALEX	Alexander & Baldwin Holdings, Inc.	36.58	1576613509.92	n/a	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/alex
ALX	Alexander&#39;s, Inc.	308	1572708368	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/alx
ARE	Alexandria Real Estate Equities, Inc.	65.08	4649266650.32	n/a	1997	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/are
ARE^E	Alexandria Real Estate Equities, Inc.	23.21	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/are^e
Y	Alleghany Corporation	391.06	6556587043.52	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/y
ATI	Allegheny Technologies Incorporated	33.93	3663833942.34	n/a	n/a	Basic Industries	Steel/Iron Ore	http://www.nasdaq.com/symbol/ati
